Algorithm,May,June,July,August
Actual,0,3,0,0
ARIMA,145.8,145.77,145.72,0.06
SARIMA,0,0,2.99,0
LSTM,0,0,0,0
BiLSTM,0,0,0,0
SARLSTM,0,0,3,0
Actual,0,0,0,0
ARIMA,0.24,0.08,0.07,-1.25
SARIMA,0,0,0,0
LSTM,0,0,0,0
BiLSTM,0,0,0,0
SARLSTM,0,0,0,0
Actual,0,0,0,0
ARIMA,4.6,0,-1.61,6.72
SARIMA,0,0,0,0
LSTM,0,0,0,0
BiLSTM,0,0,0,0
SARLSTM,0,0,0,0
Actual,0,0,0,0
ARIMA,9.99,16.66,13.27,19.97
SARIMA,0,0,0,0
LSTM,4.04,3.42,3.68,3.66
BiLSTM,5.08,4.39,4.73,4.71
SARLSTM,0,0,0,0
Actual,0,0,0,0
ARIMA,8.99,8.99,8.99,8.99
SARIMA,0,0,0,0
LSTM,-0.13,-0.13,-0.13,-0.13
BiLSTM,-0.08,-0.08,-0.08,-0.08
SARLSTM,0,0,0,0
Actual,0,0,0,0
ARIMA,0.99,0.99,0.99,0.99
SARIMA,0,0,0,0
LSTM,0,0,0,0
BiLSTM,0,0,0,0
SARLSTM,0,0,0,0
Actual,0,0,0,0
ARIMA,5.87,16,15.99,15.99
SARIMA,0,0,0,0
LSTM,1.03,2.66,2.28,2.14
BiLSTM,2.25,6.02,3.95,3.7
SARLSTM,0,0,0,0
Actual,0,0,0,0
ARIMA,1.34,8,7.99,7.99
SARIMA,0,0,0,0
LSTM,0.47,1.33,1.15,1.07
BiLSTM,0.26,1.03,0.89,0.82
SARLSTM,0,0,0,0
Actual,0,0,0,0
ARIMA,0,0.99,0.99,0.99
SARIMA,0,0,0,0
LSTM,0.05,0.17,0.14,0.13
BiLSTM,0.12,0.34,0.23,0.21
SARLSTM,0,0,0,0
Actual,12,27,29,105
ARIMA,-38.42,67.87,47.76,-1.38
SARIMA,45.99,12,27,29
LSTM,44.48,44.58,44.34,44.32
BiLSTM,45.92,46.1,46.1,46.15
SARLSTM,45.58,17,32,36.1
Actual,26,1,3,43
ARIMA,-23.82,-10.23,28.2,11.32
SARIMA,17,26,1,3
LSTM,7.18,7.74,7.51,7.53
BiLSTM,6.37,7.57,6.94,7.03
SARLSTM,17,24,4,7
Actual,3,20,0,0
ARIMA,1.12,6.51,24.84,4.52
SARIMA,0,3,20,0
LSTM,0,0,0,0
BiLSTM,0.02,0.02,0.02,0.02
SARLSTM,0,4.5,21.5,0
Actual,0,0,0,0
ARIMA,16.78,0.01,17.99,7.64
SARIMA,15,0,0,0
LSTM,0.45,0.34,1.87,1.72
BiLSTM,1,0.37,3.25,2.78
SARLSTM,15,1.5,0,0
Actual,133,77,28,93
ARIMA,81.31,71.81,86.53,99.98
SARIMA,45,133,77,28
LSTM,33.16,33.54,31.52,31.26
BiLSTM,33.52,33.77,31.83,31.55
SARLSTM,45,128,82,33
Actual,12,0,7,0
ARIMA,-1.28,39.15,32.04,32
SARIMA,9,12,-1.12,7
LSTM,10.49,8.24,8.18,7.93
BiLSTM,18.11,16.54,17.34,17.24
SARLSTM,9,11,2,8
Actual,0,0,54,0
ARIMA,0,0.99,0.99,54
SARIMA,0,0,0,53
LSTM,0.1,0.23,0.19,0.18
BiLSTM,0.12,0.4,0.24,0.21
SARLSTM,0,0,0,50
